Unnamed: 0,Edad,Tipo de trabajador,Nivel Educativo,Salario por hora,Estado civil,Sexo,Personas a cargo,Semanas trabajadas por año,"Buen
Desempeño"
,61,Desconocido,Niño,841,Soltero,Masculino,0,29,Si
,60,Desconocido,7 grado,2015,Separado,Masculino,0,29,Si
,65,Desconocido,7 grado,6607,Casado,Masculino,0,24,No
,35,Privado,Bachiller,4929,Casado,Femenino,6,52,Si
,48,Desconocido,Niño,1671,Soltero,Femenino,0,30,No
,25,Desconocido,Niño,9581,Soltero,Masculino,0,31,Si
,68,Desconocido,Niño,7760,Soltero,Masculino,0,25,No
,60,Privado,3 primaria,3684,Casado,Masculino,3,52,Si
,52,Desconocido,Bachiller,2708,Viudo,Femenino,0,31,No
,50,Desconocido,Magister,5105,Casado,Femenino,0,24,No
,29,Privado,10 grado,925,Casado,Masculino,4,52,No
,41,Gobierno Nacional,Magister,1242,Casado,Femenino,6,52,No
,47,Independiente,Bachiller,4758,Casado,Masculino,1,52,Si
,23,Privado,Bachiller,4529,Casado,Femenino,2,48,No
,56,Gobierno Nacional,Bachiller,4736,Soltero,Femenino,1,52,Si
,30,Desconocido,Niño,4418,Soltero,Femenino,0,18,Si
,33,Privado,Licenciatura,6628,Casado,Femenino,3,52,Si
,53,Desconocido,Niño,1469,Soltero,Femenino,0,21,No
,48,Privado,Bachiller,3593,Divorciado,Masculino,6,42,Si
,69,Desconocido,3 primaria,2131,Viudo,Femenino,0,28,Si
,67,Desconocido,Niño,3447,Soltero,Femenino,0,27,No
,24,Privado,Universitario sin graduar,8051,Soltero,Femenino,6,52,Si
,42,Gobierno Nacional,Universitario sin graduar,900,Casado,Femenino,1,52,No
,25,Privado,Universitario sin graduar,9833,Casado,Masculino,4,52,Si
,23,Privado,9 grado,4055,Soltero,Femenino,1,50,No
,65,Privado,Bachiller,4003,Casado,Masculino,4,52,No
,57,Privado,Bachiller,700,Casado,Femenino,1,52,No
,51,Privado,Universitario sin graduar,1236,Soltero,Masculino,4,52,No
,60,Desconocido,Bachiller,6640,Viudo,Femenino,0,28,Si
,26,Privado,Universitario sin graduar,500,Divorciado,Femenino,2,52,Si
,34,Privado,Licenciatura,2142,Casado,Masculino,2,52,Si
,49,Desconocido,Bachiller,2876,Casado,Femenino,0,31,No
,18,Privado,Bachiller,4144,Casado,Femenino,6,52,Si
,32,Privado,Licenciatura,2648,Casado,Masculino,1,52,Si
,24,Privado,Universitario sin graduar,4476,Casado,Femenino,3,52,Si
,49,Desconocido,Niño,1018,Soltero,Femenino,0,27,Si
,20,Desconocido,Niño,3261,Soltero,Femenino,0,25,No
,64,Privado,PhD,1571,Casado,Masculino,5,52,No
,67,Gobierno local,Magister,1915,Casado,Femenino,3,52,No
,40,Privado,Bachiller,4632,Divorciado,Femenino,1,52,Si
,45,Privado,Bachiller,9925,Casado,Masculino,2,52,Si
,44,Desconocido,Niño,4270,Soltero,Femenino,0,19,Si
,40,Privado,Licenciatura,8703,Casado,Masculino,1,52,No
,25,Desconocido,Niño,1565,Soltero,Femenino,0,27,No
,56,Desconocido,9 grado,7098,Soltero,Femenino,0,24,Si
,37,Gobierno local,Magister,7526,Soltero,Femenino,4,52,No
,51,Desconocido,Niño,5655,Soltero,Masculino,0,30,No
,46,Desconocido,Niño,5238,Soltero,Femenino,0,25,Si
,51,Privado,Universitario sin graduar,7604,Divorciado,Femenino,4,52,No
,70,Desconocido,7 grado,6752,Casado,Femenino,0,26,No
,52,Desconocido,Niño,9570,Soltero,Femenino,0,31,No
,68,Privado,Universitario sin graduar,6898,Casado,Masculino,3,52,Si
,34,Privado,Técnico,2961,Casado,Femenino,1,52,No
,43,Privado,Universitario sin graduar,435,Soltero,Femenino,4,52,Si
,28,Desconocido,Bachiller,9296,Casado,Masculino,0,28,Si
,44,Desconocido,Bachiller,1846,Separado,Masculino,0,26,No
,34,Privado,Bachiller,8983,Divorciado,Masculino,3,52,Si
,49,Privado,Bachiller,2925,Casado,Femenino,1,52,No
,68,Desconocido,7 grado,4169,Casado,Femenino,0,28,Si
,50,Desconocido,Niño,343,Soltero,Masculino,0,29,No
,34,Privado,Técnico,4019,Casado,Masculino,3,52,No
,69,Desconocido,3 primaria,2866,Soltero,Femenino,0,19,No
,65,Privado,Magister,8615,Casado,Femenino,2,52,No
,32,Desconocido,Universitario sin graduar,9379,Casado,Femenino,0,22,No
,68,Desconocido,Bachiller,915,Casado,Femenino,0,26,No
,48,Desconocido,Niño,8614,Soltero,Femenino,0,32,No
,38,Privado,3 primaria,450,Casado,Masculino,2,52,Si
,59,Desconocido,3 primaria,1365,Soltero,Masculino,3,41,Si
,56,Desconocido,Desconocido,9532,Divorciado,Femenino,0,26,Si
,61,Desconocido,Universitario sin graduar,5173,Viudo,Femenino,0,22,No
,21,Desconocido,Niño,640,Soltero,Masculino,0,26,No
,48,Desconocido,Niño,1571,Soltero,Masculino,0,19,No
,38,Desconocido,Niño,6871,Soltero,Masculino,0,19,No
,18,Desconocido,Bachiller,6331,Soltero,Masculino,6,47,No
,51,Privado,Universitario,4724,Casado,Femenino,6,52,Si
,55,Privado,Bachiller,3351,Divorciado,Masculino,3,46,Si
,47,Desconocido,Niño,2522,Soltero,Femenino,0,20,Si
,49,Privado,Bachiller,5727,Soltero,Femenino,5,52,Si
,55,Privado,Universitario sin graduar,9117,Separado,Femenino,1,45,No
,54,Independiente,Licenciatura,3872,Casado,Masculino,1,52,No
,18,Privado,Bachiller,250,Casado,Femenino,6,52,Si
,58,Privado,Universitario sin graduar,8059,Soltero,Masculino,1,52,Si
,49,Desconocido,Niño,2714,Soltero,Femenino,0,30,No
,43,Privado,Universitario sin graduar,3934,Casado,Masculino,6,52,Si
,38,Independiente,Grado 11 sin diploma,2497,Casado,Masculino,1,51,No
,33,Desconocido,Bachiller,372,Casado,Masculino,0,19,Si
,65,Privado,Bachiller,7263,Divorciado,Masculino,1,52,Si
,53,Privado,Licenciatura,942,Cónyuge ausente,Masculino,6,46,No
,39,Privado,Bachiller,3922,Casado,Femenino,6,49,Si
,24,Desconocido,Magister,8473,Casado,Femenino,0,22,Si
,61,Privado,Universitario sin graduar,6091,Casado,Femenino,1,52,Si
,52,Privado,Bachiller,357,Casado,Masculino,4,49,No
,24,Gobierno local,Universitario sin graduar,9369,Casado,Femenino,6,52,No
,18,Privado,Bachiller,3119,Soltero,Masculino,6,52,No
,18,Privado,Universitario sin graduar,3265,Divorciado,Femenino,6,52,Si
,62,Desconocido,Universitario sin graduar,8298,Casado,Masculino,0,31,No
,37,Desconocido,5 primaria,9257,Soltero,Femenino,0,24,No
,27,Privado,Bachiller,3962,Soltero,Masculino,1,49,No
,67,Privado,Bachiller,7485,Casado,Masculino,2,52,Si
,44,Desconocido,Niño,904,Soltero,Femenino,0,28,No
,63,Desconocido,7 grado,4652,Viudo,Femenino,0,30,No
,56,Privado,Licenciatura,3460,Soltero,Masculino,0,26,No
,47,Desconocido,Niño,7669,Soltero,Femenino,0,20,Si
,35,Privado,Licenciatura,6136,Divorciado,Masculino,3,52,Si
,51,Desconocido,Niño,7634,Soltero,Masculino,0,25,Si
,45,Desconocido,Niño,2867,Soltero,Masculino,0,19,No
,56,Desconocido,Bachiller,8902,Casado,Femenino,0,18,No
,40,Desconocido,5 primaria,7712,Casado,Masculino,0,22,Si
,53,Privado,Universitario sin graduar,8075,Casado,Masculino,0,21,No
,44,Independiente,Grado 11 sin diploma,9807,Casado,Masculino,1,52,Si
,30,Independiente,Universitario sin graduar,1264,Casado,Masculino,1,52,No
,59,Privado,Magister,2190,Divorciado,Masculino,3,52,Si
,59,Desconocido,3 primaria,8050,Casado,Femenino,0,18,No
,60,Desconocido,Técnico,3798,Casado,Femenino,0,19,Si
,29,Privado,Bachiller,7524,Casado,Masculino,5,52,Si
,29,Privado,Licenciatura,6763,Soltero,Femenino,6,45,Si
,43,Desconocido,Desconocido,9483,Viudo,Femenino,0,22,Si
,18,Desconocido,10 grado,9521,Soltero,Masculino,0,25,Si
,24,Desconocido,Bachiller,9953,Casado,Femenino,1,42,Si
,22,Independiente,Licenciatura,1141,Divorciado,Masculino,1,49,Si
,25,Desconocido,Niño,5796,Soltero,Femenino,0,30,No
,64,Independiente,Bachiller,3609,Casado,Masculino,1,52,Si
,43,Desconocido,Grado 11 sin diploma,4904,Casado,Femenino,0,25,No
,47,Desconocido,Niño,1077,Soltero,Femenino,0,19,Si
,37,Desconocido,Universitario sin graduar,4012,Casado,Femenino,0,30,Si
,35,Desconocido,Niño,7514,Soltero,Femenino,0,32,Si
,66,Desconocido,Niño,7991,Soltero,Masculino,0,19,Si
,62,Desconocido,Niño,6641,Soltero,Masculino,0,33,Si
,44,Privado,3 primaria,6088,Soltero,Masculino,1,43,No
,64,Privado,9 grado,3638,Casado,Masculino,6,52,No
,33,Desconocido,Niño,7015,Soltero,Femenino,0,21,No
,56,Privado,3 primaria,7732,Soltero,Femenino,6,41,No
,34,Privado,Licenciatura,5441,Casado,Femenino,3,52,No
,33,Privado,Licenciatura,1065,Casado,Masculino,1,52,Si
,32,Desconocido,Licenciatura,8234,Casado,Femenino,0,24,No
,66,Desconocido,Niño,348,Soltero,Femenino,0,30,No
,39,Privado,Universitario sin graduar,3304,Soltero,Masculino,1,52,Si
,44,Desconocido,Niño,6138,Soltero,Masculino,0,30,No
,40,Desconocido,Bachiller,5937,Soltero,Femenino,0,26,No
,66,Privado,Bachiller,7708,Casado,Masculino,6,52,No
,32,Independiente,Bachiller,3687,Casado,Femenino,1,52,No
,20,Mixto,Bachiller,751,Casado,Femenino,1,52,No
,42,Privado,10 grado,6843,Soltero,Femenino,3,52,No
,42,Desconocido,Niño,5245,Soltero,Femenino,0,24,No
,52,Desconocido,Universitario sin graduar,1636,Soltero,Femenino,0,29,No
,48,Desconocido,Bachiller,6375,Casado,Femenino,0,27,Si
,18,Gobierno Nacional,Bachiller,5585,Casado,Masculino,6,50,Si
,41,Privado,Licenciatura,937,Casado,Masculino,0,28,No
,61,Desconocido,Niño,8024,Soltero,Femenino,0,32,No
,59,Desconocido,PhD,1873,Casado,Masculino,0,18,Si
,20,Desconocido,Licenciatura,1208,Casado,Femenino,0,32,Si
,44,Privado,Bachiller,9361,Viudo,Femenino,1,52,Si
,50,Gobierno local,Universitario sin graduar,5621,Viudo,Femenino,6,52,No
,20,Desconocido,Bachiller,9732,Casado,Femenino,0,26,Si
,61,Privado,Bachiller,7240,Casado,Masculino,6,52,No
,69,Gobierno local,Magister,6020,Casado,Femenino,5,50,Si
,63,Privado,Bachiller,7806,Divorciado,Masculino,5,46,Si
,68,Gobierno local,Licenciatura,4464,Casado,Masculino,3,52,No
,42,Privado,Bachiller,2710,Divorciado,Masculino,1,48,Si
,27,Desconocido,Bachiller,6410,Casado,Masculino,0,22,Si
,34,Privado,10 grado,5221,Casado,Masculino,6,52,No
,65,Desconocido,Bachiller,3792,Casado,Masculino,0,20,Si
,69,Desconocido,Bachiller,7454,Soltero,Femenino,0,26,No
,40,Desconocido,Universitario,6462,Casado,Femenino,0,33,No
,45,Privado,Licenciatura,7975,Casado,Femenino,5,52,No
,18,Independiente,Magister,1375,Casado,Masculino,1,49,No
,44,Desconocido,Niño,3581,Soltero,Femenino,0,26,Si
,50,Privado,Bachiller,4442,Casado,Masculino,4,52,Si
,18,Desconocido,Niño,4377,Soltero,Masculino,0,18,No
,44,Desconocido,Grado 11 sin diploma,6568,Soltero,Femenino,0,27,No
,63,Privado,Magister,1951,Casado,Masculino,1,52,No
,40,Privado,Bachiller,2359,Casado,Femenino,2,50,No
,41,Desconocido,Niño,7319,Soltero,Femenino,0,21,Si
,56,Desconocido,9 grado,9101,Soltero,Masculino,0,32,Si
,29,Privado,Universitario sin graduar,6172,Casado,Masculino,0,22,Si
,68,Independiente,Técnico,6473,Casado,Masculino,1,52,Si
,22,Desconocido,7 grado,4545,Soltero,Masculino,0,19,Si
,50,Desconocido,Universitario sin graduar,4106,Casado,Masculino,0,30,Si
,42,Privado,Magister,3839,Casado,Masculino,6,52,No
,19,Desconocido,Bachiller,8349,Casado,Masculino,0,30,No
,35,Independiente,9 grado,6468,Casado,Masculino,1,52,No
,52,Desconocido,Niño,9083,Soltero,Femenino,0,19,Si
,42,Mixto,Universitario sin graduar,3841,Casado,Femenino,3,52,No
,31,Desconocido,Bachiller,7551,Soltero,Femenino,0,26,Si
,27,Desconocido,Bachiller,9085,Casado,Femenino,4,44,Si
,24,Desconocido,Niño,5850,Soltero,Femenino,0,19,Si
,54,Gobierno Nacional,PhD,2681,Casado,Masculino,2,52,No
,32,Independiente,Bachiller,4931,Casado,Femenino,1,44,Si
,21,Desconocido,Niño,9981,Soltero,Femenino,0,27,No
,67,Privado,Licenciatura,8635,Cónyuge ausente,Masculino,2,52,Si
,63,Privado,Menor de 1 primero primaria,3390,Soltero,Masculino,4,42,Si
,67,Privado,Licenciatura,8790,Casado,Masculino,3,52,No
,51,Desconocido,Niño,8434,Soltero,Masculino,0,23,No
,37,Privado,Bachiller,7281,Casado,Femenino,6,52,No
,30,Privado,9 grado,8154,Soltero,Femenino,6,52,No
,25,Desconocido,Bachiller,7974,Casado,Masculino,0,26,Si
,64,Desconocido,Bachiller,2017,Casado,Femenino,0,32,No
,28,Desconocido,Niño,9479,Soltero,Femenino,0,23,Si
,70,Desconocido,7 grado,6892,Casado,Femenino,0,30,Si
,39,Mixto,Universitario sin graduar,5837,Casado,Masculino,1,52,No
,65,Desconocido,Niño,2274,Soltero,Femenino,0,20,Si
,38,Privado,7 grado,500,Casado,Masculino,5,52,No
,18,Privado,10 grado,6919,Soltero,Masculino,6,42,Si
,46,Privado,10 grado,5850,Soltero,Masculino,3,52,Si
,70,Desconocido,Niño,7623,Soltero,Masculino,0,19,No
,65,Desconocido,Niño,6131,Soltero,Femenino,0,25,Si
,18,Desconocido,Bachiller,4995,Casado,Masculino,0,26,Si
,25,Privado,Grado 11 sin diploma,1300,Casado,Femenino,6,52,No
,38,Desconocido,Licenciatura,4024,Casado,Femenino,0,20,No
,24,Mixto,Universitario sin graduar,7264,Casado,Femenino,1,52,No
,25,Desconocido,Desconocido,8860,Casado,Femenino,0,28,No
,45,Desconocido,Niño,7645,Soltero,Femenino,0,26,Si
,52,Desconocido,Niño,8186,Soltero,Masculino,0,28,No
,67,Privado,Bachiller,1507,Casado,Masculino,1,49,Si
,44,Desconocido,Niño,8781,Soltero,Femenino,0,31,No
,64,Independiente,Magister,5212,Divorciado,Femenino,1,51,No
,58,Privado,Bachiller,5853,Casado,Femenino,3,52,No
,54,Desconocido,Niño,9934,Soltero,Femenino,0,31,No
,28,Desempleado,Magister,1900,Casado,Masculino,6,52,Si
,25,Desconocido,Niño,3759,Soltero,Masculino,0,19,No
,26,Gobierno local,Bachiller,8004,Separado,Femenino,0,29,No
,67,Desconocido,Bachiller,326,Casado,Masculino,0,22,No
,38,Desconocido,Niño,2299,Soltero,Masculino,0,30,Si
,39,Gobierno Nacional,Universitario sin graduar,6806,Soltero,Masculino,6,52,No
,58,Privado,7 grado,1222,Divorciado,Femenino,4,52,Si
,36,Gobierno local,Licenciatura,1233,Casado,Masculino,6,52,No
,40,Gobierno Nacional,Técnico,7936,Divorciado,Femenino,6,52,Si
,45,Privado,Licenciatura,2242,Casado,Masculino,1,52,Si
,33,Desconocido,Niño,3478,Soltero,Femenino,0,26,Si
,65,Privado,Bachiller,600,Casado,Femenino,1,52,No
,30,Privado,Bachiller,6744,Viudo,Femenino,6,52,Si
,44,Desconocido,Niño,273,Soltero,Masculino,0,27,No
,62,Desconocido,Niño,4670,Soltero,Masculino,0,33,No
,30,Privado,Técnico,6301,Divorciado,Femenino,1,52,No
,37,Privado,Universitario,1000,Casado,Femenino,1,52,Si
,52,Independiente,Licenciatura,1879,Casado,Femenino,0,18,Si
,59,Desconocido,Bachiller,7146,Casado,Masculino,0,29,Si
,67,Privado,9 grado,7885,Viudo,Femenino,6,52,No
,19,Desconocido,Bachiller,8324,Viudo,Masculino,0,23,Si
,22,Privado,Universitario sin graduar,5602,Casado,Masculino,6,52,No
,41,Privado,Universitario sin graduar,9934,Casado,Femenino,2,52,Si
,25,Desconocido,Universitario sin graduar,5162,Divorciado,Femenino,0,20,No
,62,Privado,Bachiller,1604,Casado,Masculino,4,52,Si
,56,Privado,10 grado,3579,Soltero,Masculino,6,43,Si
,35,Privado,Técnico,5360,Soltero,Masculino,6,52,Si
,44,Privado,Técnico,542,Casado,Femenino,3,52,Si
,61,Privado,Licenciatura,8643,Soltero,Masculino,4,52,Si
,63,Desconocido,7 grado,7888,Separado,Femenino,0,18,Si
,26,Desconocido,Niño,9460,Soltero,Masculino,0,27,Si
,37,Privado,Licenciatura,9920,Casado,Masculino,6,52,Si
,40,Desconocido,Bachiller,7269,Casado,Femenino,0,32,Si
,62,Desconocido,Bachiller,4909,Separado,Masculino,0,19,No
,69,Desconocido,3 primaria,4640,Casado,Femenino,0,23,Si
,66,Desconocido,Universitario sin graduar,581,Casado,Femenino,0,33,No
,49,Desconocido,10 grado,2678,Casado,Masculino,0,19,Si
,47,Privado,Licenciatura,1751,Casado,Masculino,3,52,Si
,34,Desconocido,Bachiller,3463,Viudo,Femenino,0,25,Si
,20,Privado,Licenciatura,4986,Soltero,Femenino,6,52,No
,70,Desconocido,3 primaria,4279,Soltero,Femenino,0,21,Si
,18,Desconocido,9 grado,1280,Viudo,Femenino,0,20,Si
,61,Desconocido,3 primaria,4944,Casado,Femenino,0,31,Si
,41,Desconocido,Niño,1831,Soltero,Masculino,0,18,No
,34,Desconocido,3 primaria,1469,Soltero,Masculino,0,29,No
,40,Desconocido,9 grado,6748,Soltero,Masculino,0,26,Si
,46,Desconocido,10 grado,2119,Soltero,Femenino,0,20,Si
,40,Privado,Universitario sin graduar,9298,Casado,Femenino,4,52,Si
,69,Independiente,Universitario sin graduar,7676,Casado,Masculino,1,52,Si
,40,Desconocido,Bachiller,5285,Casado,Femenino,0,32,Si
,41,Privado,3 primaria,450,Soltero,Femenino,4,41,Si
,65,Desconocido,Niño,492,Soltero,Femenino,0,19,Si
,54,Privado,Universitario sin graduar,8102,Casado,Masculino,3,52,No
,30,Desconocido,Niño,8335,Soltero,Femenino,0,32,No
,32,Desconocido,Niño,2779,Soltero,Masculino,0,26,No
,18,Desconocido,Niño,4828,Soltero,Femenino,0,32,No
,35,Desconocido,Bachiller,298,Casado,Masculino,0,28,Si
,23,Privado,Universitario sin graduar,8549,Casado,Masculino,6,50,Si
,25,Desconocido,Desconocido,502,Casado,Masculino,0,30,No
,61,Privado,Universitario sin graduar,3578,Casado,Masculino,3,52,Si
,29,Desconocido,7 grado,2887,Casado,Femenino,0,26,Si
,25,Privado,Bachiller,2252,Soltero,Masculino,6,50,Si
,65,Privado,Bachiller,2389,Casado,Femenino,6,52,No
,25,Privado,Licenciatura,700,Soltero,Femenino,6,49,No
,18,Desconocido,Niño,2145,Soltero,Femenino,0,24,No
,51,Desconocido,3 primaria,6320,Casado,Femenino,0,26,Si
,44,Privado,Bachiller,4565,Casado,Masculino,1,52,Si
,36,Desconocido,3 primaria,2308,Viudo,Femenino,0,30,Si
,34,Desconocido,Niño,3980,Soltero,Femenino,0,22,Si
,30,Privado,9 grado,4138,Soltero,Masculino,3,51,No
,28,Desconocido,Universitario sin graduar,7528,Casado,Femenino,1,48,No
,59,Desconocido,Universitario sin graduar,6980,Soltero,Masculino,6,49,No
,31,Desconocido,Universitario sin graduar,7660,Soltero,Masculino,0,28,Si
,34,Desconocido,7 grado,8898,Viudo,Masculino,0,29,No
,44,Independiente,Bachiller,8251,Casado,Femenino,1,52,No
,47,Desconocido,3 primaria,336,Soltero,Masculino,0,30,Si
,33,Desconocido,Niño,4445,Soltero,Femenino,0,18,No
,51,Desconocido,Niño,4979,Soltero,Masculino,0,26,Si
,59,Desconocido,3 primaria,9306,Soltero,Masculino,0,20,Si
,70,Privado,7 grado,9265,Soltero,Masculino,5,52,No
,34,Desconocido,7 grado,3806,Viudo,Femenino,0,29,No
,42,Privado,Universitario sin graduar,9279,Casado,Masculino,2,52,Si
,44,Desconocido,7 grado,9252,Casado,Masculino,0,26,Si
,42,Privado,Magister,3339,Casado,Femenino,2,52,Si
,20,Privado,Universitario sin graduar,1218,Casado,Femenino,6,52,Si
,37,Desconocido,7 grado,8857,Soltero,Femenino,0,26,Si
,52,Desconocido,Niño,8172,Soltero,Masculino,0,31,Si
,64,Desconocido,Bachiller,7275,Viudo,Femenino,0,32,Si
,21,Desconocido,Bachiller,2318,Casado,Femenino,0,20,No
,63,Desconocido,Niño,4677,Soltero,Masculino,0,26,No
,28,Desconocido,Niño,1106,Soltero,Femenino,0,22,Si
,61,Privado,Universitario sin graduar,5711,Casado,Femenino,6,43,Si
,46,Privado,Universitario sin graduar,156,Divorciado,Masculino,6,45,No
,51,Privado,3 primaria,1500,Casado,Masculino,2,52,Si
,25,Privado,Bachiller,672,Divorciado,Masculino,6,52,No
,53,Desconocido,Niño,1596,Soltero,Femenino,0,19,No
,37,Independiente,Bachiller,592,Casado,Masculino,1,52,Si
,26,Desconocido,Niño,3793,Soltero,Femenino,0,28,No
,62,Desconocido,Niño,6570,Soltero,Masculino,0,27,Si
,18,Gobierno local,Licenciatura,1846,Divorciado,Masculino,4,52,No
,52,Privado,Universitario,5389,Divorciado,Femenino,4,45,No
,43,Desconocido,7 grado,527,Soltero,Masculino,0,23,No
,67,Desconocido,Bachiller,2033,Viudo,Femenino,0,21,No
,45,Privado,Bachiller,7533,Casado,Masculino,2,50,Si
,33,Desconocido,Niño,3488,Soltero,Masculino,0,26,No
,25,Desconocido,Bachiller,8334,Casado,Femenino,0,29,No
,47,Desconocido,Bachiller,9000,Soltero,Femenino,0,20,No
,63,Privado,Universitario,942,Casado,Femenino,4,52,Si
,70,Desconocido,Bachiller,1082,Casado,Masculino,0,29,Si
,21,Desconocido,Niño,3800,Soltero,Femenino,0,25,No
,70,Privado,9 grado,1964,Casado,Masculino,0,25,No
,63,Desconocido,Niño,1791,Soltero,Masculino,0,21,Si
,45,Desconocido,Universitario sin graduar,5199,Soltero,Femenino,0,30,No
,41,Privado,Bachiller,5343,Soltero,Masculino,6,46,No
,67,Privado,Bachiller,9884,Viudo,Masculino,3,52,No
,55,Privado,Bachiller,3746,Divorciado,Femenino,6,48,No
,70,Desconocido,Bachiller,379,Viudo,Femenino,0,31,Si
,25,Desconocido,Bachiller,8017,Soltero,Femenino,0,30,Si
,30,Mixto,Bachiller,7651,Casado,Femenino,0,19,Si
,65,Desconocido,Niño,9282,Soltero,Masculino,0,19,No
,43,Desconocido,Bachiller,778,Viudo,Femenino,0,19,No
,44,Desconocido,Niño,4616,Soltero,Masculino,0,22,No
,63,Desconocido,Niño,4617,Soltero,Femenino,0,30,No
,26,Desconocido,Universitario sin graduar,4830,Casado,Femenino,0,26,No
,30,Privado,Bachiller,8704,Casado,Femenino,2,52,Si
,36,Privado,Universitario,9818,Casado,Femenino,1,52,No
,54,Privado,Bachiller,3797,Casado,Femenino,3,52,No
,37,Desconocido,7 grado,5815,Soltero,Femenino,0,25,No
,58,Desconocido,Niño,6492,Soltero,Masculino,0,20,No
,60,Desconocido,Niño,4527,Soltero,Masculino,0,18,No
,23,Privado,Bachiller,3464,Casado con cónyuge presente,Femenino,6,52,Si
,24,Privado,9 grado,3387,Casado,Masculino,1,52,No
,48,Gobierno local,Licenciatura,4976,Soltero,Femenino,6,52,No
,42,Privado,Bachiller,289,Casado,Masculino,5,52,Si
,34,Privado,Licenciatura,7008,Soltero,Masculino,6,52,No
,59,Desempleado,PhD,3075,Casado,Masculino,6,52,No
,68,Privado,Universitario sin graduar,2744,Soltero,Femenino,3,44,No
,47,Privado,Bachiller,1510,Casado,Masculino,1,52,Si
,64,Privado,Universitario sin graduar,7565,Soltero,Masculino,0,18,No
,63,Desconocido,5 primaria,3664,Viudo,Femenino,0,22,No
,46,Desconocido,Niño,3725,Soltero,Masculino,0,24,No
,58,Desconocido,Niño,4596,Soltero,Masculino,0,20,Si
,41,Gobierno local,Universitario sin graduar,9906,Casado,Femenino,6,52,No
,20,Privado,Licenciatura,3075,Casado,Masculino,2,52,No
,57,Desconocido,Niño,7029,Soltero,Masculino,0,27,No
,29,Desconocido,Bachiller,2286,Casado,Femenino,0,25,Si
,26,Privado,Bachiller,6841,Divorciado,Masculino,6,48,Si
,48,Nunca ha trabajado,7 grado,2263,Soltero,Masculino,0,32,Si
,23,Privado,Universitario sin graduar,2958,Casado,Femenino,5,52,No
,61,Privado,Licenciatura,1355,Casado,Femenino,6,52,No
,50,Privado,Técnico,2493,Casado,Femenino,6,52,Si
,65,Desconocido,Bachiller,3975,Casado,Masculino,2,52,Si
,66,Desconocido,Niño,1322,Soltero,Masculino,0,26,No
,52,Privado,Bachiller,2004,Soltero,Masculino,3,52,Si
,28,Desempleado,Universitario sin graduar,8676,Casado,Femenino,1,52,No
,36,Privado,Universitario sin graduar,8316,Soltero,Masculino,6,52,Si
,55,Independiente,Bachiller,4751,Casado,Femenino,1,52,Si
,28,Desconocido,Niño,2190,Soltero,Masculino,0,26,Si
,58,Gobierno local,Licenciatura,6049,Casado,Femenino,5,50,No
,37,Mixto,9 grado,458,Casado,Masculino,2,52,No
,44,Gobierno local,Licenciatura,900,Soltero,Masculino,6,47,Si
,18,Desconocido,7 grado,2229,Separado,Masculino,0,31,Si
,19,Desconocido,Niño,8921,Soltero,Masculino,0,22,Si
,65,Desconocido,10 grado,9385,Separado,Femenino,0,32,Si
,23,Privado,Licenciatura,3811,Casado,Femenino,2,52,Si
,22,Privado,Licenciatura,787,Casado,Femenino,3,52,No
,44,Privado,Bachiller,5371,Casado,Masculino,3,52,Si
,35,Privado,7 grado,600,Viudo,Femenino,1,52,Si
,70,Desconocido,7 grado,6240,Casado,Masculino,0,26,Si
,43,Desconocido,Menor de 1 primero primaria,7365,Viudo,Femenino,0,26,No
,22,Desconocido,Bachiller,3258,Divorciado,Masculino,0,25,No
,21,Privado,Bachiller,2958,Soltero,Masculino,6,52,No
,51,Desconocido,Niño,3650,Soltero,Femenino,0,18,No
,35,Desconocido,9 grado,9188,Casado,Femenino,0,23,No
,45,Privado,Desconocido,3829,Casado,Masculino,5,52,No
,24,Desconocido,Niño,5339,Soltero,Masculino,0,26,Si
,68,Desconocido,Niño,2892,Soltero,Femenino,0,27,Si
,68,Desconocido,Niño,8304,Soltero,Masculino,0,30,Si
,49,Desconocido,Niño,8414,Soltero,Femenino,0,22,Si
,64,Privado,Magister,5518,Soltero,Masculino,6,47,Si
,41,Privado,3 primaria,7017,Divorciado,Femenino,6,52,Si
,56,Desconocido,Niño,2427,Soltero,Masculino,0,20,No
,44,Privado,5 primaria,1435,Casado,Masculino,4,52,Si
,38,Desconocido,Niño,5767,Soltero,Masculino,0,26,Si
,69,Desconocido,Universitario sin graduar,7984,Casado,Femenino,0,28,No
,41,Privado,3 primaria,4193,Soltero,Masculino,1,42,Si
,57,Desconocido,Niño,9428,Soltero,Masculino,0,20,Si
,65,Gobierno Nacional,Universitario sin graduar,1400,Soltero,Femenino,1,48,Si
,43,Privado,10 grado,2322,Soltero,Femenino,0,19,No
,44,Privado,Bachiller,6582,Casado,Femenino,6,52,Si
,34,Desconocido,Universitario sin graduar,3260,Viudo,Masculino,0,18,Si
,26,Mixto,Bachiller,2666,Divorciado,Femenino,2,52,Si
,46,Privado,Universitario sin graduar,900,Soltero,Femenino,6,52,Si
,20,Privado,5 primaria,8644,Separado,Femenino,1,52,No
,60,Desconocido,Niño,7041,Soltero,Masculino,0,21,No
,51,Privado,Licenciatura,4272,Casado,Femenino,4,52,Si
,44,Privado,Menor de 1 primero primaria,3031,Soltero,Femenino,2,46,No
,52,Privado,Bachiller,5281,Casado,Femenino,4,52,No
